Rank ,Global Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,% Interdiscip. Science Research,Overall Score,Teaching Score,Research Environment Score,Research Quality Score,Industry Score,International Outlook Score
1,2,Stanford University,"14,517",6.4,23%,47 : 53,22%,98,99,97.8,99.6,100,87
2,3,Massachusetts Institute of Technology,"11,085",8,33%,41 : 59,40%,97.9,98.6,96.2,99.7,100,93.8
3,4,Harvard University,"20,050",9,25%,51 : 49,12%,97.8,97.7,99.9,99.4,84.2,90.8
4,6,Princeton University,"7,753",7.3,23%,47 : 53,43%,96.9,96.3,97.9,98.8,95.1,89.1
5,7,California Institute of Technology,"2,240",6.1,33%,37 : 63,49%,96.5,96.6,98,95.9,100,90.6
6,9,"University of California, Berkeley","39,991",17.9,22%,52 : 48,36%,94.6,87.2,98.8,99,99.4,86.8
7,10,Yale University,"11,924",5.2,21%,51 : 49,13%,94.2,94,94.9,97.7,86.5,82.4
8,13,The University of Chicago,"15,792",6.2,36%,47 : 53,29%,92.1,89.6,91.2,97.6,93.8,82.3
9,15,Johns Hopkins University,"15,772",4.1,28%,56 : 44,15%,91.1,84.4,92.3,97.2,100,84.2
10,16,University of Pennsylvania,"21,312",6.2,22%,54 : 46,13%,91,87.7,89.7,97.6,97.7,78.8
11,17,Columbia University,"25,914",5.2,35%,n/a,23%,90.9,88.6,89.7,97.4,75.2,86.9
12,18,"University of California, Los Angeles","42,634",9.6,15%,56 : 44,21%,90.1,85.7,91.9,96.4,92.3,74.3
13,20,Cornell University,"23,620",10,24%,51 : 49,25%,89.5,85.7,88.7,97.6,69.4,86
14,23,University of Michigan-Ann Arbor,"45,783",8.1,16%,51 : 49,22%,87.4,84.7,87.4,95.5,80.7,69
15,24,Carnegie Mellon University,"13,562",11.9,44%,44 : 56,43%,86.3,75,84.6,98.9,87.3,85.5
16,25,University of Washington,"49,486",10.1,16%,56 : 44,20%,85.3,78,83.5,98.2,77.6,73.2
17,26,Duke University,"15,527",3.9,18%,52 : 48,15%,83.9,79.3,76.1,96.2,100,74.8
18,27,New York University,"48,461",11.8,42%,58 : 42,21%,83.5,73.2,84,94.9,75.4,80.7
19,28,Northwestern University,"18,894",13.1,18%,52 : 48,18%,83.2,72.3,78.8,97.8,99.7,75.9
20,34,"University of California, San Diego","40,596",12,19%,45 : 55,21%,81,66,78.4,97.6,100,74.3
21,36,Georgia Institute of Technology,"32,079",28,29%,34 : 66,43%,80,63.4,78.9,94.1,94.6,84.8
22,42,University of Illinois at Urbana-Champaign,"50,250",19.6,23%,51 : 49,35%,77.9,69.5,81.5,85.2,85.3,64
23,52,University of Texas at Austin,"48,558",16.4,8%,55 : 45,36%,75.5,66,75.7,91,81.4,47.3
24,59,"University of California, Davis","37,926",13.3,18%,60 : 40,22%,74.1,63.7,67.8,87.2,91.5,78.7
25,63,University of Wisconsin-Madison,"41,209",9.9,13%,n/a,24%,73.3,68.5,67.5,85.5,79.8,62.8
26,64,Brown University,"9,781",10.3,19%,n/a,17%,73,69.8,59.6,89.7,69.3,72.1
27,68,Washington University in St Louis,"13,825",7.3,22%,52 : 48,12%,72.3,60.8,57.2,97.5,77.8,72.7
28,69,"University of California, Santa Barbara","25,540",27.5,18%,54 : 46,39%,72.1,47.4,64.7,96.9,99.4,84
29,72,University of North Carolina at Chapel Hill,"30,782",7.7,8%,60 : 40,12%,71.2,63.4,60.3,93.9,75.8,50.9
30,74,University of Southern California,"44,083",14.2,24%,49 : 51,20%,70.8,59.2,58.8,92.5,74.4,74.3
31,78,Boston University,"26,677",10.8,29%,58 : 42,16%,70.1,59.6,54.1,94.3,76.4,74.1
32,85,University of Minnesota,"59,556",11.8,9%,55 : 45,22%,68.7,61,58.5,87.2,99.8,48.3
